Tempo,Estado,Alt,Vel,AccX,AccY,AccZ,Lat,Lon
14229,0,-0.02,0.00,-7.101,-6.512,-1.087,0,0
14280,0,-0.02,0.00,-7.092,-6.498,-1.082,0,0
14329,0,-0.01,-0.19,-7.116,-6.507,-1.106,0,0
14380,0,-0.00,1.45,-7.096,-6.503,-1.073,0,0
14430,0,-0.05,-1.13,-7.077,-6.503,-1.053,0,0
14480,0,-0.04,0.32,-7.096,-6.503,-1.082,0,0
14531,0,-0.07,0.00,-7.087,-6.493,-1.092,0,0
14581,0,-0.08,-0.54,-7.096,-6.527,-1.097,0,0
14631,0,-0.05,-0.56,-7.106,-6.503,-1.077,0,0
14681,0,-0.03,1.45,-7.087,-6.498,-1.125,0,0
14733,0,-0.01,0.00,-7.077,-6.503,-1.073,0,0
14785,0,-0.01,0.26,-7.106,-6.507,-1.077,0,0
14836,0,-0.01,0.00,-7.092,-6.507,-1.077,0,0
14888,0,0.00,0.84,-7.125,-6.522,-1.092,0,0
14939,0,0.03,0.88,-7.101,-6.498,-1.063,0,0
14991,0,0.02,0.32,-7.096,-6.479,-1.092,0,0
15042,0,0.03,0.20,-7.096,-6.498,-1.073,0,0
15094,0,-0.01,0.00,-7.096,-6.493,-1.082,0,0
15146,0,0.00,0.35,-7.092,-6.498,-1.082,0,0
15197,0,-0.02,0.00,-7.096,-6.493,-1.097,0,0
15249,0,-0.01,0.34,-7.092,-6.493,-1.063,0,0
15300,0,-0.03,-1.09,-7.101,-6.507,-1.077,0,0
15353,0,-0.01,0.00,-7.092,-6.498,-1.063,0,0
15403,0,-0.03,-1.09,-7.111,-6.503,-1.073,0,0
15454,0,-0.03,-0.20,-7.096,-6.503,-1.092,0,0
15504,0,-0.03,0.00,-7.087,-6.503,-1.106,0,0
15554,0,-0.05,0.32,-7.096,-6.522,-1.053,0,0
15605,0,-0.02,0.93,-7.087,-6.507,-1.092,0,0
15654,0,-0.02,0.00,-7.092,-6.488,-1.077,0,0
15705,0,-0.02,-0.15,-7.092,-6.498,-1.063,0,0
15756,0,-0.01,0.82,-7.096,-6.503,-1.077,0,0
15808,0,-0.00,0.34,-7.092,-6.493,-1.097,0,0
15859,0,-0.03,0.00,-7.096,-6.498,-1.063,0,0
15911,0,-0.05,-1.01,-7.087,-6.498,-1.092,0,0
15963,0,-0.04,0.30,-7.096,-6.512,-1.077,0,0
16014,0,-0.05,0.71,-7.111,-6.512,-1.116,0,0
16066,0,-0.03,0.86,-7.087,-6.483,-1.073,0,0
16117,0,-0.04,0.00,-7.087,-6.483,-1.087,0,0
16169,0,-0.07,0.00,-7.101,-6.493,-1.082,0,0
16221,0,-0.04,0.00,-7.106,-6.517,-1.077,0,0
16272,0,-0.04,0.82,-7.101,-6.507,-1.077,0,0
16323,0,-0.05,-0.27,-7.096,-6.522,-1.087,0,0
16373,0,-0.03,0.00,-7.101,-6.503,-1.068,0,0
16424,0,-0.07,-0.56,-7.092,-6.498,-1.097,0,0
16474,0,-0.05,0.88,-7.087,-6.517,-1.097,0,0
16525,0,-0.06,0.00,-7.096,-6.483,-1.073,0,0
16575,0,-0.05,-0.52,-7.092,-6.488,-1.077,0,0
16625,0,-0.03,0.85,-7.106,-6.493,-1.063,0,0
16675,0,-0.01,0.00,-7.101,-6.493,-1.073,0,0
