Tempo,Estado,Alt,Vel,AccX,AccY,AccZ,Lat,Lon
14150,0,0.19,0.00,9.658,-0.522,-3.491,0,0
14203,0,0.20,1.02,9.653,-0.441,-3.323,0,0
14253,0,0.20,0.00,9.639,-0.431,-3.213,0,0
14305,0,0.22,0.48,9.486,-0.570,-2.844,0,0
14356,0,0.19,0.00,9.357,-0.436,-2.844,0,0
14408,0,0.19,0.00,9.323,-0.139,-3.007,0,0
14459,0,0.17,-0.82,9.725,-0.139,-3.041,0,0
14511,0,0.18,0.47,9.960,-0.484,-3.275,0,0
14563,0,0.18,0.00,10.022,-0.795,-3.179,0,0
14614,0,0.15,0.00,9.912,-0.704,-3.189,0,0
14666,0,0.16,-0.76,9.625,-0.187,-2.974,0,0
14717,0,0.16,0.00,9.538,0.163,-2.509,0,0
14769,0,0.17,0.50,9.524,0.192,-2.394,0,0
14820,0,0.17,0.00,9.653,0.000,-2.217,0,0
14872,0,0.17,0.00,9.663,-0.297,-2.523,0,0
14923,0,0.17,0.00,9.682,-0.345,-2.787,0,0
14973,0,0.16,-0.52,9.610,-0.292,-2.863,0,0
15023,0,0.16,0.00,9.558,-0.057,-2.562,0,0
15075,0,0.16,0.00,9.510,0.081,-2.409,0,0
15127,0,0.16,0.00,9.572,0.196,-2.097,0,0
15179,0,0.16,0.00,9.792,0.139,-2.203,0,0
15229,0,0.16,0.00,9.878,0.019,-2.346,0,0
15280,0,0.17,0.50,9.974,0.000,-2.399,0,0
15332,0,0.17,0.00,9.907,0.005,-2.662,0,0
15381,0,0.17,0.00,9.797,0.014,-2.437,0,0
15433,0,0.19,0.52,9.634,0.014,-2.442,0,0
15484,0,0.15,0.00,9.596,0.077,-2.131,0,0
15536,0,0.16,0.00,9.629,0.105,-1.958,0,0
15587,0,0.18,0.00,9.730,0.086,-1.997,0,0
15639,0,0.21,0.48,9.888,0.182,-2.093,0,0
15691,0,0.18,-0.82,10.003,-0.029,-2.380,0,0
15742,0,0.20,0.00,9.950,-0.235,-2.231,0,0
15794,0,0.20,0.00,9.764,-0.187,-2.212,0,0
15845,0,0.20,0.00,9.625,0.187,-1.877,0,0
15898,0,0.21,0.00,9.711,0.393,-1.772,0,0
