Tempo,Estado,Alt,Vel,AccX,AccY,AccZ,Lat,Lon
14161,0,-0.34,0.00,-5.583,-10.003,0.479,0,0
14211,0,-0.32,0.38,-5.138,-8.825,0.575,0,0
14262,0,-0.32,0.00,-5.195,-8.772,1.030,0,0
14314,0,-0.31,0.52,-5.057,-9.615,1.302,0,0
14366,0,-0.31,0.00,-4.961,-10.257,1.326,0,0
14417,0,-0.29,0.88,-4.659,-8.926,1.245,0,0
14469,0,-0.29,0.00,-4.223,-7.408,0.824,0,0
14520,0,-0.30,0.00,-5.871,-10.017,0.690,0,0
14572,0,-0.33,-0.52,-4.305,-7.882,0.378,0,0
14622,0,-0.34,-0.52,-3.931,-7.403,0.455,0,0
14673,0,-0.37,-0.97,-4.223,-7.666,0.838,0,0
14725,0,-0.40,0.00,-4.946,-9.045,1.279,0,0
14777,0,-0.42,0.00,-4.573,-8.892,1.087,0,0
14828,0,-0.45,0.00,-4.966,-9.802,1.049,0,0
14880,0,-0.48,-0.52,-3.859,-7.197,0.814,0,0
14930,0,-0.49,-0.52,-4.228,-7.207,0.953,0,0
14981,0,-0.49,0.00,-5.827,-9.577,1.097,0,0
15031,0,-0.47,0.80,-4.942,-9.567,0.613,0,0
15081,0,-0.50,-1.13,-4.822,-9.740,0.771,0,0
15132,0,-0.50,0.00,-5.535,-9.768,1.379,0,0
15181,0,-0.53,-0.56,-4.650,-7.954,1.336,0,0
15233,0,-0.54,-0.48,-4.468,-8.648,1.030,0,0
15284,0,-0.56,0.00,-3.577,-7.786,0.512,0,0
15336,0,-0.56,0.00,-4.295,-8.322,0.699,0,0
15388,0,-0.57,0.00,-5.507,-8.940,1.130,0,0
15439,0,-0.58,-0.48,-5.028,-8.538,0.996,0,0
15491,0,-0.60,0.00,-4.381,-8.897,0.575,0,0
15541,0,-0.61,-0.48,-4.137,-8.490,0.632,0,0
15592,0,-0.62,0.00,-4.913,-8.581,1.207,0,0
15644,0,-0.66,-1.04,-5.157,-8.619,1.322,0,0
15695,0,-0.66,0.00,-4.128,-7.987,0.747,0,0
15747,0,-0.70,0.00,-4.913,-9.907,0.622,0,0
15799,0,-0.70,0.00,-4.961,-8.753,0.943,0,0
15850,0,-0.73,-0.48,-4.870,-7.776,1.120,0,0
15903,0,-0.73,0.00,-4.664,-8.317,0.857,0,0
15953,0,-0.71,0.00,-3.754,-7.858,0.498,0,0
16003,0,-0.70,0.56,-4.295,-8.543,0.680,0,0
16054,0,-0.71,-0.56,-4.961,-8.126,1.173,0,0
16104,0,-0.70,0.00,-3.903,-6.440,0.977,0,0
16154,0,-0.72,-1.45,-4.482,-8.499,0.924,0,0
16206,0,-0.71,0.52,-4.175,-8.586,0.565,0,0
16258,0,-0.71,0.00,-5.981,-10.525,0.924,0,0
16310,0,-0.66,1.82,-6.009,-9.448,1.159,0,0
16361,0,-0.71,0.00,-4.946,-8.815,0.819,0,0
16412,0,-0.68,1.01,-4.630,-9.505,0.651,0,0
16463,0,-0.67,0.48,-4.889,-9.309,0.972,0,0
16515,0,-0.65,0.56,-2.988,-6.742,-2.188,0,0
16566,0,-0.64,0.00,-5.713,-8.748,1.451,0,0
16618,0,-0.66,-0.88,-3.754,-8.016,0.488,0,0
16669,0,-0.65,0.48,-3.859,-7.532,0.335,0,0
16721,0,-0.63,0.00,-4.468,-7.508,0.618,0,0
16772,0,-0.61,1.04,-4.966,-7.772,0.915,0,0
16824,0,-0.64,0.00,-5.420,-9.826,0.919,0,0
16876,0,-0.63,0.00,-4.621,-9.874,0.752,0,0
16926,0,-0.63,0.00,-3.960,-7.848,0.958,0,0
16976,0,-0.63,0.00,-5.272,-8.835,1.437,0,0
17027,0,-0.63,0.00,-5.066,-8.768,1.020,0,0
17077,0,-0.64,0.00,-4.257,-8.341,0.393,0,0
17127,0,-0.64,-0.60,-4.041,-7.791,0.273,0,0
17179,0,-0.64,0.00,-5.373,-8.854,0.795,0,0
17230,0,-0.63,0.00,-5.741,-9.443,1.125,0,0
17281,0,-0.63,0.00,-4.175,-8.533,0.910,0,0
17332,0,-0.63,-0.45,-3.783,-8.466,0.939,0,0
17384,0,-0.66,-1.34,-3.907,-7.494,1.173,0,0
17435,0,-0.65,0.00,-4.932,-8.279,1.245,0,0
17487,0,-0.64,0.00,-5.080,-9.026,0.737,0,0
17538,0,-0.65,0.00,-4.769,-9.218,0.196,0,0
17590,0,-0.66,-0.48,-4.635,-8.595,0.335,0,0
17641,0,-0.65,0.48,-4.894,-8.289,0.967,0,0
17693,0,-0.64,0.52,-4.554,-8.399,1.202,0,0
17744,0,-0.61,1.01,-4.032,-8.672,0.943,0,0
17796,0,-0.61,0.00,-4.266,-9.170,0.943,0,0
17848,0,-0.57,0.48,-4.683,-8.408,1.001,0,0
17900,0,-0.56,0.00,-5.085,-8.418,0.905,0,0
17950,0,-0.56,0.00,-4.602,-8.404,0.441,0,0
18001,0,-0.57,-0.56,-3.936,-8.533,0.254,0,0
18051,0,-0.57,0.00,-4.879,-8.916,0.910,0,0
18101,0,-0.57,0.00,-4.779,-8.399,1.393,0,0
18152,0,-0.56,0.56,-4.683,-8.590,1.379,0,0
18202,0,-0.54,0.52,-4.027,-8.519,0.871,0,0
18253,0,-0.53,0.48,-4.310,-8.586,0.723,0,0
18305,0,-0.50,0.41,-5.100,-8.547,0.924,0,0
18357,0,-0.49,0.52,-5.061,-8.274,0.919,0,0
18408,0,-0.52,0.00,-4.870,-9.060,0.694,0,0
18460,0,-0.51,0.52,-4.707,-9.519,0.757,0,0
18511,0,-0.51,0.00,-5.306,-9.845,1.374,0,0
18562,0,-0.50,0.52,-6.594,-11.377,1.815,0,0
18613,0,-0.51,0.48,-6.316,-11.952,1.140,0,0
18665,0,-0.51,0.00,-5.890,-11.305,0.594,0,0
18716,0,-0.53,0.00,-6.249,-10.400,0.838,0,0
18768,0,-0.49,1.01,-6.302,-10.252,1.015,0,0
18819,0,-0.51,0.00,-5.157,-9.898,0.790,0,0
18871,0,-0.47,0.48,-4.477,-9.275,0.915,0,0
18922,0,-0.47,-0.20,-4.424,-8.404,1.269,0,0
18972,0,-0.46,0.00,-4.089,-7.116,1.259,0,0
19022,0,-0.42,1.05,-3.515,-6.546,0.886,0,0
19073,0,-0.41,0.56,-3.634,-7.312,0.512,0,0
19123,0,-0.42,0.00,-3.558,-7.010,0.469,0,0
19172,0,-0.38,0.48,-3.663,-6.426,0.718,0,0
19224,0,-0.38,-0.34,-4.381,-7.384,1.092,0,0
19276,0,-0.34,1.01,-4.870,-9.529,-0.350,0,0
19327,0,-0.31,1.04,-4.908,-8.298,-0.795,0,0
19379,0,-0.32,0.00,-5.167,-7.652,-0.455,0,0
19429,0,-0.30,1.01,-5.334,-7.618,0.522,0,0
19480,0,-0.24,1.01,-3.745,-6.996,1.432,0,0
19532,0,-0.26,-0.88,-2.983,-8.945,2.452,0,0
19584,0,-0.24,0.00,-3.160,-8.844,2.399,0,0
19635,0,-0.17,1.53,-5.109,-8.844,1.695,0,0
19687,0,-0.14,0.00,-6.048,-8.686,0.182,0,0
19738,0,-0.07,1.49,-5.334,-8.121,-0.785,0,0
19790,0,-0.08,-0.36,-4.276,-7.116,-0.402,0,0
19841,0,-0.04,0.00,-1.484,-2.825,-4.875,0,0
19894,0,-0.02,1.09,-5.344,-7.350,1.235,0,0
19944,0,0.02,0.00,-4.583,-7.211,0.187,0,0
19994,0,0.06,0.54,-5.435,-8.389,-0.445,0,0
20045,0,0.06,0.00,-4.812,-7.537,-0.364,0,0
20095,0,0.04,0.00,-5.320,-8.600,-0.977,0,0
20145,0,0.08,0.56,-6.335,-9.926,-0.335,0,0
20197,0,0.11,1.11,-4.697,-8.322,1.068,0,0
20248,0,0.10,0.00,-3.491,-8.495,2.025,0,0
20300,0,0.16,0.17,-3.089,-8.787,2.356,0,0
