Tempo,Estado,Alt,Vel,AccX,AccY,AccZ,Lat,Lon
14127,0,0.03,0.00,9.922,0.120,-1.571,0,0
14178,0,0.04,0.00,9.941,0.115,-1.542,0,0
14228,0,0.03,-0.50,9.922,0.134,-1.556,0,0
14280,0,0.03,0.00,9.907,0.101,-1.561,0,0
14331,0,0.04,0.50,9.907,0.101,-1.575,0,0
14383,0,0.04,0.00,9.912,0.124,-1.599,0,0
14434,0,0.03,-0.50,9.917,0.115,-1.580,0,0
14486,0,0.03,0.00,9.917,0.101,-1.575,0,0
14538,0,0.01,0.00,9.917,0.129,-1.590,0,0
14589,0,0.01,0.00,9.917,0.110,-1.585,0,0
14641,0,0.01,0.00,9.917,0.110,-1.571,0,0
14692,0,0.01,0.52,9.917,0.115,-1.571,0,0
14744,0,0.01,0.00,9.912,0.105,-1.566,0,0
14795,0,-0.02,0.00,9.917,0.120,-1.585,0,0
14847,0,-0.02,0.00,9.912,0.105,-1.551,0,0
14900,0,-0.01,0.00,9.912,0.115,-1.599,0,0
14950,0,-0.01,0.00,9.926,0.110,-1.595,0,0
15000,0,0.01,0.56,9.926,0.120,-1.571,0,0
15050,0,0.01,0.00,9.907,0.129,-1.551,0,0
15102,0,0.02,0.00,9.917,0.115,-1.556,0,0
15154,0,0.02,0.00,9.912,0.115,-1.585,0,0
15204,0,0.03,0.50,9.931,0.124,-1.599,0,0
15255,0,0.03,0.00,9.931,0.110,-1.566,0,0
15307,0,0.05,0.00,9.931,0.139,-1.571,0,0
15359,0,-0.00,-1.86,9.917,0.115,-1.547,0,0
15410,0,0.01,0.00,9.917,0.115,-1.556,0,0
15462,0,0.01,0.00,9.917,0.124,-1.580,0,0
15513,0,0.01,0.00,9.917,0.129,-1.580,0,0
15565,0,0.01,0.00,9.907,0.124,-1.547,0,0
15617,0,-0.03,-1.36,9.917,0.134,-1.575,0,0
15668,0,-0.03,0.52,9.917,0.110,-1.580,0,0
15720,0,-0.03,0.00,9.917,0.120,-1.585,0,0
15771,0,-0.01,0.00,9.917,0.124,-1.571,0,0
15823,0,-0.01,0.00,9.926,0.115,-1.551,0,0
15875,0,0.00,0.50,9.917,0.110,-1.585,0,0
15925,0,0.03,0.56,9.907,0.110,-1.537,0,0
15976,0,0.04,0.52,9.941,0.110,-1.571,0,0
16026,0,0.06,0.00,9.931,0.120,-1.566,0,0
16078,0,0.05,-0.24,9.912,0.101,-1.571,0,0
16129,0,0.03,-0.54,9.936,0.115,-1.575,0,0
16180,0,0.03,0.00,9.926,0.129,-1.571,0,0
16274,0,0.02,-0.11,9.922,0.120,-1.604,0,0
16326,0,0.02,0.00,9.917,0.110,-1.575,0,0
16376,0,0.02,0.00,9.912,0.120,-1.571,0,0
16427,0,0.02,0.00,9.931,0.124,-1.561,0,0
16479,0,0.03,0.50,9.912,0.110,-1.585,0,0
16531,0,0.02,-0.47,9.912,0.120,-1.571,0,0
16582,0,-0.01,-0.84,9.902,0.110,-1.561,0,0
16634,0,-0.01,0.00,9.926,0.115,-1.551,0,0
16685,0,-0.01,0.00,9.926,0.134,-1.537,0,0
16737,0,-0.00,0.45,9.907,0.124,-1.585,0,0
16786,0,-0.00,0.00,9.922,0.124,-1.575,0,0
16838,0,0.01,0.56,9.907,0.115,-1.561,0,0
16887,0,0.01,0.00,9.936,0.120,-1.566,0,0
16938,0,0.03,0.00,9.902,0.110,-1.580,0,0
16988,0,0.00,0.00,9.941,0.134,-1.585,0,0
17038,0,0.00,0.00,9.917,0.120,-1.566,0,0
17090,0,0.02,0.00,9.917,0.144,-1.571,0,0
17142,0,0.02,0.00,9.941,0.105,-1.590,0,0
17192,0,0.02,0.00,9.922,0.110,-1.566,0,0
17243,0,0.02,0.00,9.936,0.120,-1.566,0,0
17295,0,0.03,0.00,9.922,0.124,-1.551,0,0
17347,0,-0.01,-1.32,9.926,0.139,-1.575,0,0
17398,0,-0.01,0.00,9.917,0.086,-1.575,0,0
17450,0,0.01,-1.45,9.922,0.139,-1.551,0,0
17501,0,0.04,1.34,9.917,0.105,-1.595,0,0
17553,0,0.03,0.00,9.922,0.120,-1.585,0,0
17605,0,0.06,0.50,9.936,0.129,-1.561,0,0
17656,0,0.06,0.00,9.931,0.115,-1.599,0,0
17708,0,0.06,0.00,9.922,0.120,-1.590,0,0
17759,0,0.04,-0.50,9.917,0.120,-1.571,0,0
17811,0,0.06,0.00,9.926,0.120,-1.575,0,0
17863,0,0.02,0.00,9.931,0.129,-1.580,0,0
