Tempo,Estado,Alt,Vel,AccX,AccY,AccZ,Lat,Lon
14184,0,-0.26,0.00,9.357,3.333,1.408,0,0
14234,0,-0.25,0.32,9.352,3.328,1.374,0,0
14286,0,-0.26,0.00,9.414,3.309,1.379,0,0
14337,0,-0.24,0.86,9.361,3.266,0.948,0,0
14387,0,-0.27,0.00,9.333,3.381,1.551,0,0
14437,0,-0.25,0.00,9.385,3.342,1.398,0,0
14488,0,-0.24,0.80,9.357,3.299,1.369,0,0
14538,0,-0.26,-0.56,9.333,3.323,1.374,0,0
14590,0,-0.23,0.00,9.361,3.323,1.393,0,0
14641,0,-0.20,1.34,9.371,3.328,1.360,0,0
14693,0,-0.20,0.00,9.347,3.256,1.403,0,0
14744,0,-0.12,0.88,9.428,3.280,1.326,0,0
14796,0,-0.11,0.52,9.361,3.261,1.384,0,0
14848,0,-0.09,0.00,9.400,3.299,1.336,0,0
14899,0,-0.07,0.56,9.515,3.376,1.542,0,0
14951,0,-0.07,0.00,9.706,3.079,1.537,0,0
15002,0,-0.06,0.00,9.749,3.079,1.532,0,0
15054,0,-0.01,0.00,10.285,3.270,1.288,0,0
15105,0,-0.01,0.00,9.677,2.796,1.322,0,0
15156,0,-0.01,0.00,8.772,2.385,1.595,0,0
15207,0,-0.03,-1.36,8.514,2.634,1.556,0,0
15259,0,-0.03,0.00,8.241,2.514,1.652,0,0
15311,0,-0.01,0.48,8.255,2.667,1.580,0,0
15362,0,-0.01,0.00,8.241,2.231,1.686,0,0
15413,0,0.03,0.00,8.068,2.231,1.245,0,0
15463,0,0.00,-0.52,9.055,2.840,0.958,0,0
15513,0,0.00,0.00,8.993,2.806,0.948,0,0
15565,0,0.03,0.00,9.270,3.749,1.590,0,0
15617,0,-0.00,-0.50,9.098,2.974,1.274,0,0
15669,0,-0.03,-1.04,9.290,3.903,1.504,0,0
15720,0,-0.02,-0.52,10.242,3.673,1.106,0,0
15772,0,-0.03,-0.48,9.361,3.462,1.188,0,0
15823,0,-0.02,0.00,9.280,3.840,1.015,0,0
15875,0,-0.03,0.00,8.935,3.730,0.781,0,0
15927,0,-0.04,0.00,9.261,4.372,0.737,0,0
15978,0,-0.04,0.00,8.298,3.572,1.173,0,0
16030,0,-0.06,-0.52,9.601,4.707,1.671,0,0
16080,0,-0.06,0.00,8.715,3.510,0.397,0,0
16132,0,-0.07,-0.56,8.882,3.644,2.428,0,0
16183,0,-0.11,-1.04,8.835,3.989,1.298,0,0
16235,0,-0.12,-0.48,10.716,4.860,0.517,0,0
16287,0,-0.14,-0.20,10.041,3.998,0.268,0,0
16339,0,-0.14,0.00,8.806,3.390,-0.139,0,0
16391,0,-0.17,-0.56,9.716,4.664,-0.484,0,0
16442,0,-0.17,0.00,9.304,4.597,-0.484,0,0
16492,0,-0.18,0.00,9.606,4.702,-0.651,0,0
16542,0,-0.21,-0.56,9.280,4.669,-0.642,0,0
16593,0,-0.21,0.00,8.504,4.142,-0.718,0,0
16644,0,-0.19,0.86,8.619,4.468,-0.546,0,0
16695,0,-0.20,-0.52,9.242,5.239,0.436,0,0
17125,1,-0.04,0.48,1.867,-1.417,3.419,0,0
17176,1,0.00,1.32,3.405,-1.925,4.606,0,0
17227,1,0.63,23.47,3.673,-2.203,5.837,0,0
17279,1,1.75,19.41,4.884,-2.337,6.359,0,0
17331,1,2.35,22.11,6.148,-2.447,6.574,0,0
17380,1,2.87,0.00,7.159,-2.672,6.440,0,0
17431,1,3.82,18.07,7.614,-2.619,6.646,0,0
