Tempo,Estado,Alt,Vel,AccX,AccY,AccZ,Lat,Lon
14162,0,-0.07,0.00,9.227,3.745,0.292,0,0
14216,0,-0.05,0.00,9.371,3.816,0.316,0,0
14267,0,-0.08,0.52,9.424,3.567,0.455,0,0
14318,0,-0.08,0.00,9.481,3.117,0.608,0,0
14369,0,-0.09,0.48,9.524,2.926,0.632,0,0
14421,0,-0.07,0.00,9.586,2.600,0.728,0,0
14472,0,-0.06,1.09,9.567,2.528,0.804,0,0
14524,0,-0.09,-0.82,9.529,2.409,0.857,0,0
14576,0,-0.07,-0.34,9.424,2.409,0.943,0,0
14627,0,-0.05,0.52,9.433,1.867,1.049,0,0
14679,0,-0.06,0.00,9.720,1.164,0.809,0,0
14728,0,-0.03,0.56,9.658,1.250,0.723,0,0
14779,0,-0.04,-0.36,9.931,1.154,0.148,0,0
14829,0,-0.03,0.00,9.926,1.312,-0.273,0,0
14880,0,-0.02,-0.32,9.955,1.269,-0.426,0,0
14931,0,-0.01,0.52,9.797,1.379,0.038,0,0
14983,0,-0.07,-0.86,9.845,1.504,0.474,0,0
15034,0,-0.06,0.52,9.864,1.633,0.757,0,0
15086,0,-0.08,0.00,9.960,2.112,0.388,0,0
15137,0,-0.05,0.48,10.051,2.571,0.206,0,0
15188,0,-0.05,0.00,10.190,2.610,0.177,0,0
15239,0,-0.04,0.48,10.137,2.878,0.215,0,0
15291,0,-0.01,0.00,10.113,3.098,0.057,0,0
15343,0,-0.01,1.04,10.075,3.079,-0.067,0,0
15394,0,-0.03,-0.86,9.979,2.825,-0.115,0,0
15446,0,-0.03,1.01,9.740,2.658,-0.105,0,0
15497,0,-0.01,0.52,9.577,2.318,-0.057,0,0
15549,0,-0.04,0.00,9.476,2.188,-0.043,0,0
15600,0,-0.03,-0.82,9.433,2.179,-0.010,0,0
15652,0,-0.04,0.00,9.476,2.093,-0.072,0,0
15704,0,-0.07,-0.24,9.864,1.911,-0.201,0,0
15754,0,-0.04,1.09,9.922,2.346,-0.311,0,0
15804,0,-0.05,0.00,9.931,2.528,-0.402,0,0
15854,0,-0.03,-0.36,9.821,2.643,-0.354,0,0
15904,0,-0.00,1.09,9.706,2.840,-0.302,0,0
15956,0,-0.01,0.00,9.591,2.538,-0.196,0,0
16006,0,-0.03,-0.86,9.534,2.519,-0.038,0,0
16058,0,-0.01,1.01,9.677,2.658,-0.335,0,0
16109,0,-0.02,-0.34,9.778,2.854,-0.579,0,0
16161,0,-0.03,0.00,9.859,2.734,-0.713,0,0
16212,0,0.01,1.01,9.663,2.792,-0.517,0,0
16264,0,0.00,-0.13,9.677,2.624,-0.436,0,0
16315,0,0.01,-0.71,9.663,2.768,-0.488,0,0
16367,0,-0.01,0.00,9.673,2.753,-0.555,0,0
16418,0,-0.02,0.52,9.673,2.677,-0.503,0,0
16469,0,-0.02,0.00,9.730,2.600,-0.532,0,0
16520,0,-0.00,1.01,9.629,2.571,-0.460,0,0
16572,0,0.02,0.00,9.625,2.523,-0.383,0,0
16623,0,0.03,0.50,9.682,2.461,-0.345,0,0
16675,0,0.03,0.22,9.725,2.509,-0.354,0,0
16724,0,0.03,0.00,9.730,2.466,-0.373,0,0
16775,0,0.01,-0.36,9.749,2.476,-0.369,0,0
16825,0,0.02,0.54,9.778,2.409,-0.321,0,0
16876,0,0.02,0.00,9.682,2.318,-0.177,0,0
16927,0,0.01,-0.82,9.677,2.279,0.034,0,0
16979,0,0.01,0.00,9.735,2.207,0.081,0,0
17030,0,-0.00,0.48,9.840,2.284,0.005,0,0
17082,0,-0.01,-0.30,9.855,2.313,0.000,0,0
17134,0,-0.01,0.00,9.859,2.241,0.029,0,0
17185,0,-0.01,-0.86,9.826,2.246,0.057,0,0
17237,0,0.01,0.00,9.730,2.116,0.153,0,0
17287,0,0.04,1.01,9.792,2.002,0.091,0,0
17339,0,0.01,0.00,9.730,2.150,0.168,0,0
17390,0,0.02,-0.32,9.816,2.064,0.177,0,0
17442,0,0.03,0.00,9.740,2.155,0.239,0,0
17493,0,0.04,1.02,9.735,2.121,0.259,0,0
17545,0,0.03,-0.20,9.768,2.188,0.206,0,0
17597,0,0.05,0.00,9.869,2.274,0.134,0,0
17648,0,0.05,1.02,9.883,2.164,0.077,0,0
17700,0,0.03,0.00,9.859,2.150,0.077,0,0
17750,0,0.08,1.13,9.811,2.131,0.057,0,0
17800,0,0.07,-0.36,9.816,2.131,0.129,0,0
17850,0,0.10,0.00,9.792,2.160,0.192,0,0
17900,0,0.09,-0.95,9.802,2.212,0.220,0,0
17952,0,0.07,-0.80,9.864,2.298,0.225,0,0
18003,0,0.10,0.00,9.878,2.284,0.239,0,0
18055,0,0.10,0.56,9.783,2.308,0.148,0,0
18107,0,0.07,0.00,9.783,2.107,0.077,0,0
18157,0,0.10,1.04,9.701,1.987,0.177,0,0
18208,0,0.07,0.00,9.725,1.954,0.311,0,0
18260,0,0.10,0.56,9.835,2.265,0.172,0,0
18311,0,0.09,-0.09,9.931,2.423,0.005,0,0
18362,0,0.07,-0.84,9.950,2.298,-0.024,0,0
18414,0,0.10,0.00,9.850,2.088,0.086,0,0
18465,0,0.08,-0.86,9.663,2.126,0.129,0,0
18516,0,0.08,0.00,9.644,2.107,0.144,0,0
18567,0,0.08,-0.86,9.783,2.255,-0.077,0,0
18619,0,0.10,0.00,9.907,2.131,-0.043,0,0
18671,0,0.12,0.48,9.965,2.064,-0.038,0,0
18722,0,0.14,0.52,9.902,2.160,0.043,0,0
18773,0,0.12,0.00,9.821,2.217,0.120,0,0
18823,0,0.12,0.00,9.740,2.265,0.124,0,0
18874,0,0.08,-1.47,9.735,2.136,0.110,0,0
18925,0,0.11,0.56,9.807,1.982,0.010,0,0
18977,0,0.08,0.52,9.744,1.973,0.101,0,0
19029,0,0.10,0.00,9.778,2.040,0.192,0,0
19080,0,0.09,-0.84,9.840,2.217,0.144,0,0
19132,0,0.10,0.54,9.802,2.318,0.201,0,0
19183,0,0.12,0.00,9.802,2.207,0.230,0,0
19235,0,0.09,-0.82,9.720,2.155,0.249,0,0
19286,0,0.09,0.00,9.778,2.150,0.201,0,0
19338,0,0.07,-0.74,9.831,2.227,0.077,0,0
19390,0,0.07,0.00,9.855,2.203,0.081,0,0
19440,0,0.09,0.50,9.883,2.188,0.148,0,0
19492,0,0.12,0.00,9.888,2.217,0.129,0,0
19543,0,0.14,0.50,9.859,2.145,0.105,0,0
19595,0,0.16,0.48,9.744,2.164,0.134,0,0
19646,0,0.16,0.00,9.720,1.973,0.220,0,0
19698,0,0.17,0.60,9.730,2.126,0.235,0,0
19748,0,0.17,0.00,9.740,2.246,0.206,0,0
19833,0,0.18,0.00,9.802,2.097,0.182,0,0
19885,0,0.17,0.00,9.845,2.059,0.081,0,0
19935,0,1.32,42.48,9.883,2.093,-0.019,0,0
19984,0,2.38,0.00,9.874,2.107,0.029,0,0
20036,0,4.23,33.57,9.831,2.217,0.124,0,0
20087,0,5.08,31.56,9.864,2.198,0.120,0,0
20139,0,6.60,29.10,9.840,2.251,0.081,0,0
20190,0,7.34,27.36,9.792,2.217,0.110,0,0
20242,0,7.95,0.00,9.725,2.203,0.148,0,0
20294,0,7.04,-15.99,9.759,2.107,0.101,0,0
20345,0,6.60,-16.49,9.845,2.069,0.010,0,0
20397,0,5.79,-14.42,9.816,2.160,0.048,0,0
20448,0,5.44,-13.01,9.797,2.284,0.086,0,0
20500,0,5.12,0.00,9.783,2.184,0.172,0,0
20550,0,4.81,-11.61,9.826,2.078,0.168,0,0
20602,0,4.23,-10.43,9.831,2.064,0.101,0,0
20653,0,3.99,-8.94,9.835,2.193,0.057,0,0
20705,0,3.75,0.00,9.797,2.251,0.115,0,0
20755,0,3.31,-7.71,9.740,2.107,0.139,0,0
20805,0,3.12,-7.39,9.792,2.054,0.120,0,0
20856,0,2.93,0.00,9.864,2.112,0.038,0,0
20905,0,2.61,-6.32,9.859,2.131,0.053,0,0
20957,0,2.46,0.00,9.835,2.121,0.086,0,0
21008,0,2.18,-5.38,9.764,2.112,0.105,0,0
21060,0,2.04,-5.27,9.826,2.131,0.105,0,0
21112,0,1.91,0.00,9.783,2.169,0.120,0,0
21163,0,1.67,-5.25,9.783,2.184,0.129,0,0
21215,0,1.57,0.00,9.835,2.093,0.105,0,0
