Tempo,Estado,Alt,Vel,AccX,AccY,AccZ,Lat,Lon
14086,0,0.06,0.00,9.917,-1.015,-1.130,0,0
14138,0,0.06,0.00,9.936,-1.025,-1.135,-7.002079,-34.832783
14189,0,0.06,0.00,9.931,-1.001,-1.120,-7.002079,-34.832783
14239,0,0.05,0.00,9.922,-1.020,-1.135,-7.002079,-34.832783
14290,0,0.09,1.45,9.917,-1.010,-1.120,-7.002079,-34.832783
14340,0,0.07,-0.54,9.917,-1.020,-1.125,-7.002079,-34.832783
14390,0,0.06,0.00,9.917,-1.015,-1.082,-7.002079,-34.832783
14441,0,0.03,-0.58,9.931,-1.015,-1.140,-7.002079,-34.832783
14491,0,0.03,0.00,9.941,-1.001,-1.120,-7.002079,-34.832783
14542,0,0.03,0.00,9.926,-1.001,-1.130,-7.002079,-34.832783
14592,0,0.05,0.54,9.931,-1.010,-1.106,-7.002079,-34.832783
14644,0,0.05,0.00,9.922,-1.020,-1.140,-7.002079,-34.832783
14695,0,0.03,0.00,9.946,-1.025,-1.154,-7.002079,-34.832783
14747,0,0.03,0.00,9.936,-1.020,-1.130,-7.002079,-34.832783
14798,0,0.02,0.00,9.936,-1.010,-1.130,-7.002079,-34.832783
14850,0,0.02,0.00,9.926,-1.010,-1.120,-7.002079,-34.832783
14902,0,0.02,0.00,9.941,-1.006,-1.164,-7.002079,-34.832783
14953,0,0.01,-0.54,9.931,-1.030,-1.168,-7.002079,-34.832783
15005,0,0.01,0.00,9.931,-1.020,-1.120,-7.002079,-34.832783
15057,0,-0.04,0.00,9.931,-1.020,-1.140,-7.002079,-34.832783
15107,0,-0.04,0.00,9.912,-1.034,-1.116,-7.002079,-34.832783
15157,0,-0.04,0.00,9.912,-0.991,-1.135,-7.002079,-34.832783
15208,0,-0.06,-0.56,9.941,-1.006,-1.130,-7.002079,-34.832783
15258,0,-0.06,0.00,9.926,-1.020,-1.106,-7.002079,-34.832783
15309,0,-0.07,0.00,9.926,-0.996,-1.140,-7.002079,-34.832783
15359,0,-0.07,0.00,9.941,-1.010,-1.125,-7.002079,-34.832783
15409,0,-0.07,0.00,9.931,-1.010,-1.149,-7.002079,-34.832783
15460,0,-0.11,0.00,9.922,-1.006,-1.130,-7.002079,-34.832783
15510,0,-0.12,-0.52,9.926,-1.010,-1.135,-7.002079,-34.832783
15560,0,-0.12,0.00,9.922,-1.006,-1.135,-7.002079,-34.832783
15612,0,-0.13,0.00,9.917,-1.001,-1.130,-7.002079,-34.832783
15663,0,-0.12,0.48,9.917,-1.010,-1.116,-7.002079,-34.832783
15715,0,-0.12,0.00,9.922,-1.020,-1.154,-7.002079,-34.832783
15767,0,-0.13,0.00,9.917,-1.020,-1.140,-7.002079,-34.832783
15817,0,-0.15,-0.52,9.922,-1.030,-1.125,-7.002079,-34.832783
15868,0,-0.15,0.00,9.917,-1.015,-1.140,-7.002079,-34.832783
15920,0,-0.16,0.00,9.902,-1.010,-1.125,-7.002079,-34.832783
15972,0,-0.16,-0.48,9.917,-1.001,-1.149,-7.002079,-34.832783
16023,0,-0.18,-0.52,9.936,-1.006,-1.130,-7.002079,-34.832783
16076,0,-0.19,0.00,9.946,-1.001,-1.164,-7.002079,-34.832783
16126,0,-0.19,0.00,9.936,-1.020,-1.135,-7.002080,-34.832783
16187,0,-0.18,0.18,9.936,-1.006,-1.149,-7.002080,-34.832783
16237,0,-0.18,0.00,9.917,-1.015,-1.135,-7.002080,-34.832783
16288,0,-0.16,0.00,9.917,-1.006,-1.130,-7.002080,-34.832783
16338,0,-0.15,0.52,9.898,-1.010,-1.120,-7.002080,-34.832783
16389,0,-0.13,0.00,9.969,-0.996,-1.168,-7.002080,-34.832783
16439,0,-0.12,0.52,9.941,-1.020,-1.149,-7.002080,-34.832783
16490,0,-0.12,0.00,9.931,-1.015,-1.140,-7.002080,-34.832783
16540,0,-0.09,0.00,9.936,-1.015,-1.101,-7.002080,-34.832783
16592,0,-0.09,0.00,9.907,-1.010,-1.135,-7.002080,-34.832783
