Tempo,Estado,Alt,Vel,AccX,AccY,AccZ,Lat,Lon
14198,0,-0.10,0.00,9.117,4.046,1.561,0,0
14248,0,-0.14,-0.93,9.079,3.955,1.566,0,0
14299,0,-0.14,0.00,9.002,3.998,1.599,0,0
14350,0,-0.12,0.56,9.074,4.022,1.618,0,0
14402,0,-0.14,0.00,9.064,3.960,1.647,0,0
14454,0,-0.12,0.56,9.045,4.017,1.642,0,0
14505,0,-0.14,-0.86,9.112,4.085,1.642,0,0
14557,0,-0.13,0.52,9.055,4.022,1.657,0,0
14608,0,-0.11,0.56,9.098,4.156,1.690,0,0
14660,0,-0.15,0.00,9.002,4.003,1.681,0,0
14712,0,-0.16,0.00,8.983,4.123,1.623,0,0
14763,0,-0.15,0.00,8.796,3.936,1.729,0,0
14815,0,-0.18,0.52,8.978,3.970,1.800,0,0
14866,0,-0.18,0.00,9.165,4.080,1.666,0,0
14917,0,-0.18,0.00,9.222,4.266,1.513,0,0
14967,0,-0.20,-0.54,9.285,4.228,1.465,0,0
15017,0,-0.25,-2.01,9.299,4.075,1.489,0,0
15069,0,-0.23,0.00,9.108,3.974,1.561,0,0
15121,0,-0.23,0.00,8.902,3.907,1.709,0,0
15173,0,-0.25,0.00,8.997,4.032,1.714,0,0
15223,0,-0.25,0.00,9.127,4.065,1.652,0,0
15275,0,-0.25,0.00,8.926,3.950,1.743,0,0
15326,0,-0.22,0.48,8.758,3.979,1.891,0,0
15378,0,-0.22,0.00,8.959,4.113,1.853,0,0
15429,0,-0.25,-0.71,9.093,4.089,1.690,0,0
15481,0,-0.25,0.00,9.151,4.037,1.595,0,0
15532,0,-0.25,0.00,9.084,3.926,1.575,0,0
15584,0,-0.23,0.52,9.093,3.764,1.618,0,0
15636,0,-0.23,0.00,9.131,3.697,1.599,0,0
15687,0,-0.24,-0.86,9.088,3.960,1.700,0,0
15739,0,-0.24,0.00,9.045,4.108,1.729,0,0
15790,0,-0.22,0.00,9.064,3.989,1.671,0,0
15842,0,-0.19,0.56,8.988,3.979,1.700,0,0
15892,0,-0.18,0.00,9.060,3.922,1.662,0,0
15942,0,-0.22,0.00,9.103,3.922,1.556,0,0
15993,0,-0.22,0.00,9.179,3.874,1.494,0,0
16043,0,-0.20,0.00,9.079,3.903,1.484,0,0
16093,0,-0.20,0.00,9.026,3.879,1.393,0,0
16145,0,-0.19,0.00,9.074,3.907,1.346,0,0
16196,0,-0.25,-0.48,9.127,3.989,1.355,0,0
16248,0,-0.25,0.00,9.237,3.960,1.355,0,0
16299,0,-0.26,-0.16,9.246,3.874,1.369,0,0
16350,0,-0.25,0.00,9.194,3.989,1.360,0,0
16402,0,-0.25,0.00,9.184,4.152,1.384,0,0
16454,0,-0.22,1.01,9.170,4.104,1.346,0,0
16504,0,-0.22,0.00,9.093,3.989,1.413,0,0
16556,0,-0.22,0.00,9.151,4.037,1.427,0,0
16607,0,-0.24,0.52,9.108,3.994,1.379,0,0
16659,0,-0.23,0.48,9.122,4.003,1.341,0,0
16710,0,-0.24,0.00,8.959,3.926,1.379,0,0
16762,0,-0.24,0.00,8.973,4.017,1.417,0,0
16813,0,-0.24,0.00,9.069,3.955,1.369,0,0
16865,0,-0.23,0.00,9.064,4.032,1.403,0,0
16916,0,-0.26,-1.45,9.112,4.061,1.389,0,0
16966,0,-0.23,0.00,9.141,4.056,1.374,0,0
17016,0,-0.21,0.00,9.074,3.998,1.451,0,0
17068,0,-0.21,0.00,9.108,4.085,1.451,0,0
17120,0,-0.21,0.00,9.069,4.166,1.422,0,0
17172,0,-0.18,1.34,9.064,4.022,1.413,0,0
17223,0,-0.18,0.00,9.084,4.022,1.427,0,0
17275,0,-0.16,1.30,9.007,4.013,1.460,0,0
17326,0,-0.16,0.00,9.045,4.104,1.499,0,0
17378,0,-0.16,0.00,8.993,4.137,1.508,0,0
17429,0,-0.13,1.30,9.036,4.094,1.480,0,0
17480,0,-0.15,-0.48,9.136,3.931,1.484,0,0
17531,0,-0.11,1.34,9.208,4.056,1.504,0,0
