Tempo,Estado,Alt,Vel,AccX,AccY,AccZ,Lat,Lon
14269,0,0.08,0.00,9.175,2.811,3.146,0,0
14320,0,0.08,0.00,9.199,2.849,3.122,0,0
14369,0,0.11,1.01,9.175,2.686,3.438,0,0
14420,0,0.08,0.00,9.031,3.021,3.247,0,0
14470,0,0.08,0.00,9.270,2.844,2.801,0,0
14520,0,0.09,0.58,9.246,3.017,2.734,0,0
14572,0,0.10,0.00,9.313,3.041,2.758,0,0
14624,0,0.12,0.00,9.227,3.021,2.907,0,0
14675,0,0.08,-1.25,9.112,2.849,2.988,0,0
14727,0,0.07,-0.52,9.165,2.787,3.136,0,0
14779,0,0.07,0.00,9.203,2.926,3.103,0,0
14829,0,0.06,-0.52,9.175,2.969,2.945,0,0
14880,0,0.06,0.00,9.194,2.892,2.820,0,0
14932,0,0.04,0.00,9.246,2.969,2.887,0,0
14984,0,0.03,-0.50,9.203,2.974,2.964,0,0
15035,0,-0.01,0.00,9.179,2.911,3.021,0,0
15087,0,-0.01,0.00,9.146,2.835,3.026,0,0
15138,0,-0.01,0.00,9.136,2.844,3.017,0,0
15190,0,-0.06,0.00,9.184,2.830,2.998,0,0
15242,0,-0.06,0.00,9.237,2.964,3.017,0,0
15293,0,-0.06,0.00,9.208,3.146,3.041,0,0
15345,0,-0.06,0.00,9.175,3.017,2.964,0,0
15395,0,-0.06,0.00,9.232,2.945,2.902,0,0
15445,0,-0.06,0.00,9.179,2.945,3.021,0,0
15496,0,-0.07,-0.56,9.093,2.892,3.017,0,0
15546,0,-0.07,0.00,9.189,2.835,2.954,0,0
15597,0,-0.09,-0.52,9.242,2.926,2.921,0,0
15649,0,-0.12,-1.34,9.160,2.993,2.931,0,0
15699,0,-0.12,0.00,9.203,2.926,2.964,0,0
15751,0,-0.12,0.00,9.218,3.031,2.993,0,0
15802,0,-0.11,0.00,9.175,2.954,2.921,0,0
15854,0,-0.11,0.00,9.170,2.983,2.935,0,0
15905,0,-0.09,0.00,9.203,2.964,3.021,0,0
15957,0,-0.09,0.00,9.146,3.017,3.021,0,0
16009,0,-0.08,0.00,9.165,2.988,2.935,0,0
16060,0,-0.10,0.45,9.242,2.897,2.911,0,0
16112,0,-0.09,0.52,9.165,3.036,2.964,0,0
16163,0,-0.11,0.00,9.189,2.950,2.940,0,0
16215,0,-0.11,0.00,9.203,2.916,2.950,0,0
16267,0,-0.11,0.00,9.184,2.835,2.959,0,0
16318,0,-0.08,0.56,9.165,2.935,3.002,0,0
16380,0,-0.08,0.00,9.237,2.964,2.993,0,0
16431,0,-0.08,0.00,9.175,2.954,2.945,0,0
16481,0,-0.10,-0.60,9.208,2.926,2.998,0,0
16531,0,-0.10,0.00,9.160,2.897,2.993,0,0
16582,0,-0.13,-1.30,9.127,2.691,2.950,0,0
16633,0,-0.10,1.79,9.146,2.758,3.089,0,0
16685,0,-0.10,0.00,9.136,2.768,3.055,0,0
16737,0,-0.13,0.00,9.237,2.883,3.002,0,0
16788,0,-0.08,1.34,9.189,2.964,3.002,0,0
16840,0,-0.10,0.00,9.199,3.055,2.902,0,0
16891,0,-0.13,0.00,9.237,3.055,2.787,0,0
16943,0,-0.13,0.00,9.179,2.969,2.859,0,0
16995,0,-0.15,0.00,9.151,2.830,3.007,0,0
17046,0,-0.15,0.00,9.175,2.849,3.141,0,0
17098,0,-0.16,0.00,9.189,2.954,3.165,0,0
17149,0,-0.18,0.00,9.184,3.084,3.055,0,0
17201,0,-0.21,-1.41,9.227,3.074,2.868,0,0
17253,0,-0.22,-0.48,9.208,2.911,2.801,0,0
17303,0,-0.22,0.00,9.175,2.816,2.863,0,0
17354,0,-0.22,0.00,9.160,2.921,3.007,0,0
17405,0,-0.25,-0.97,9.151,2.974,3.127,0,0
17455,0,-0.25,0.00,9.170,2.921,3.065,0,0
17505,0,-0.25,0.00,9.170,2.964,2.907,0,0
17555,0,-0.25,0.00,9.270,2.964,2.878,0,0
17607,0,-0.25,0.00,9.237,2.945,2.950,0,0
17659,0,-0.31,-1.04,9.141,2.969,3.007,0,0
