Tempo,Estado,Alt,Vel,AccX,AccY,AccZ,Lat,Lon
14147,0,-0.08,0.00,3.658,4.731,8.337,0,0
14200,0,-0.09,-0.35,3.577,5.018,7.748,0,0
14251,0,-0.10,0.00,3.342,4.075,8.902,0,0
14301,0,-0.09,-0.36,3.725,4.290,8.279,0,0
14351,0,-0.11,-0.88,3.625,4.875,8.179,0,0
14402,0,-0.09,1.01,3.443,5.210,7.848,0,0
14453,0,-0.06,0.00,3.156,5.334,8.025,0,0
14505,0,-0.09,-0.34,3.266,4.990,8.159,0,0
14556,0,-0.08,0.48,3.625,4.583,8.294,0,0
14608,0,-0.11,0.00,3.539,4.875,8.092,0,0
14660,0,-0.11,0.19,3.213,5.104,8.064,0,0
14711,0,-0.10,0.00,3.347,4.903,8.174,0,0
14763,0,-0.07,1.01,3.500,4.712,8.164,0,0
14814,0,-0.08,-0.34,3.414,4.831,8.150,0,0
14866,0,-0.04,0.19,3.318,5.009,8.131,0,0
14917,0,-0.02,1.01,3.385,4.918,8.155,0,0
14969,0,0.01,0.00,3.342,5.004,8.150,0,0
15020,0,-0.01,-0.34,3.419,4.937,8.203,0,0
15071,0,-0.03,-0.82,3.395,4.927,8.126,0,0
15120,0,-0.02,0.48,3.352,4.956,8.164,0,0
15171,0,-0.04,0.00,3.424,4.884,8.193,0,0
15221,0,-0.04,0.56,3.395,4.908,8.131,0,0
15272,0,-0.07,-0.93,3.385,4.884,8.198,0,0
15322,0,-0.05,0.00,3.390,4.884,8.198,0,0
15371,0,-0.10,-0.82,3.405,4.913,8.140,0,0
15423,0,-0.09,0.48,3.419,4.860,8.174,0,0
15474,0,-0.12,0.00,3.385,4.913,8.107,0,0
15526,0,-0.10,0.52,3.366,4.918,8.183,0,0
15578,0,-0.12,0.00,3.476,4.846,8.159,0,0
15629,0,-0.13,-1.34,3.414,4.879,8.183,0,0
15681,0,-0.12,0.52,3.342,4.980,8.150,0,0
15732,0,-0.14,0.52,3.419,4.817,8.212,0,0
15784,0,-0.13,0.52,3.414,4.875,8.188,0,0
15834,0,-0.15,-0.86,3.395,4.946,8.140,0,0
15886,0,-0.16,-0.36,3.371,4.918,8.193,0,0
15937,0,-0.12,0.52,3.424,4.851,8.150,0,0
15989,0,-0.12,-0.34,3.371,4.913,8.150,0,0
16040,0,-0.10,0.00,3.371,4.884,8.131,0,0
16092,0,-0.14,-1.49,3.409,4.908,8.284,0,0
16142,0,-0.11,0.00,3.424,4.942,8.102,0,0
16193,0,-0.11,1.04,3.395,4.879,8.179,0,0
16246,0,-0.08,0.43,3.376,4.956,8.159,0,0
16296,0,-0.09,0.50,3.361,4.908,8.164,0,0
16347,0,-0.08,0.52,3.381,4.956,8.126,0,0
16397,0,-0.06,0.52,3.419,4.889,8.250,0,0
16448,0,-0.08,-0.71,3.424,4.903,8.183,0,0
16500,0,-0.07,0.00,3.366,4.951,8.179,0,0
16552,0,-0.09,-0.82,3.390,4.899,8.155,0,0
16603,0,-0.11,0.00,3.409,4.875,8.193,0,0
16655,0,-0.07,0.48,3.419,4.927,8.150,0,0
16706,0,-0.05,1.04,3.376,4.956,8.188,0,0
16758,0,-0.04,0.52,3.424,4.903,8.188,0,0
16809,0,-0.05,-0.34,3.381,4.927,8.121,0,0
16861,0,-0.04,0.00,3.385,4.875,8.207,0,0
16912,0,-0.05,0.48,3.409,4.889,8.150,0,0
16964,0,-0.05,-0.26,3.371,4.956,8.135,0,0
17016,0,-0.06,-0.78,3.428,4.841,8.112,0,0
17066,0,-0.06,0.00,3.352,4.970,8.169,0,0
17116,0,-0.04,-0.36,3.381,4.932,8.107,0,0
17166,0,-0.02,1.05,3.462,4.769,8.198,0,0
17216,0,0.01,0.00,3.390,4.913,8.217,0,0
17267,0,0.00,-0.76,3.376,4.908,8.140,0,0
17317,0,0.00,0.00,3.381,4.894,8.179,0,0
17369,0,0.00,0.00,3.433,4.875,8.174,0,0
17421,0,-0.02,-0.91,3.400,4.903,8.179,0,0
17472,0,-0.01,0.48,3.390,4.889,8.164,0,0
17524,0,-0.03,-0.82,3.381,4.903,8.174,0,0
17575,0,0.00,1.02,3.376,4.894,8.155,0,0
17627,0,-0.02,0.00,3.409,4.903,8.164,0,0
17678,0,0.02,1.04,3.376,4.956,8.188,0,0
17730,0,0.01,0.00,3.409,4.899,8.131,0,0
17782,0,0.03,-0.32,3.414,4.875,8.135,0,0
17833,0,0.04,0.54,3.352,4.860,8.188,0,0
17885,0,0.06,0.54,3.385,4.879,8.140,0,0
17936,0,0.05,-0.34,3.371,4.908,8.150,0,0
17988,0,0.08,0.00,3.409,4.889,8.217,0,0
18038,0,0.06,-0.80,3.424,4.875,8.126,0,0
18090,0,0.08,0.00,3.361,4.908,8.135,0,0
18140,0,0.09,0.56,3.357,4.899,8.207,0,0
18190,0,0.11,0.00,3.419,4.841,8.179,0,0
18241,0,0.11,0.54,3.405,4.870,8.174,0,0
18292,0,0.10,-0.12,3.366,4.942,8.174,0,0
18341,0,0.13,0.00,3.371,4.937,8.174,0,0
18393,0,0.16,1.01,3.385,4.870,8.159,0,0
18443,0,0.17,0.52,3.385,4.855,8.179,0,0
18494,0,0.13,0.00,3.371,4.922,8.135,0,0
