Tempo,Estado,Alt,Vel,AccX,AccY,AccZ,Lat,Lon
14119,0,-0.05,0.00,9.917,0.158,-1.618,0,0
14168,0,-0.01,0.91,9.888,0.182,-1.618,0,0
14220,0,-0.05,-1.34,9.907,0.144,-1.623,0,0
14272,0,-0.04,0.00,9.907,0.153,-1.609,0,0
14323,0,-0.02,0.48,9.912,0.158,-1.604,0,0
14375,0,0.00,0.88,9.917,0.163,-1.633,0,0
14426,0,-0.04,0.00,9.907,0.153,-1.628,0,0
14478,0,-0.04,0.00,9.912,0.172,-1.595,0,0
14530,0,-0.04,0.00,9.917,0.168,-1.623,0,0
14580,0,0.01,1.84,9.902,0.144,-1.623,0,0
14630,0,-0.02,0.00,9.902,0.177,-1.638,0,0
14680,0,-0.01,-1.47,9.907,0.148,-1.585,0,0
14731,0,0.01,0.52,9.907,0.158,-1.614,0,0
14781,0,0.01,0.00,9.902,0.172,-1.633,0,0
14832,0,0.02,0.52,9.902,0.134,-1.599,0,0
14884,0,0.02,0.00,9.922,0.163,-1.623,0,0
14935,0,0.02,0.00,9.893,0.153,-1.609,0,0
14987,0,0.01,-0.52,9.912,0.168,-1.633,0,0
15039,0,0.01,0.50,9.888,0.148,-1.614,0,0
15090,0,0.01,0.00,9.907,0.163,-1.599,0,0
15142,0,0.01,0.00,9.907,0.148,-1.609,0,0
15193,0,0.02,0.52,9.912,0.168,-1.628,0,0
15245,0,0.01,-0.52,9.917,0.172,-1.614,0,0
15297,0,0.01,0.00,9.907,0.139,-1.618,0,0
15348,0,0.02,0.52,9.917,0.163,-1.609,0,0
15400,0,0.03,0.00,9.907,0.158,-1.618,0,0
15451,0,0.03,0.54,9.902,0.148,-1.638,0,0
15502,0,0.02,-0.50,9.902,0.163,-1.609,0,0
15553,0,-0.02,-1.36,9.893,0.172,-1.618,0,0
15605,0,0.02,0.00,9.902,0.158,-1.628,0,0
15655,0,0.03,0.54,9.893,0.168,-1.609,0,0
15706,0,0.06,1.13,9.922,0.148,-1.609,0,0
15756,0,0.07,0.00,9.917,0.168,-1.628,0,0
15808,0,0.04,0.00,9.902,0.144,-1.580,0,0
15860,0,0.02,-0.50,9.907,0.153,-1.618,0,0
15911,0,0.02,0.00,9.907,0.153,-1.662,0,0
15963,0,0.02,0.00,9.898,0.177,-1.618,0,0
16015,0,0.01,0.00,9.912,0.163,-1.642,0,0
16066,0,0.02,0.00,9.931,0.163,-1.614,0,0
16118,0,0.02,0.00,9.917,0.148,-1.638,0,0
16169,0,0.02,0.00,9.922,0.144,-1.609,0,0
16226,0,0.02,0.00,9.898,0.158,-1.638,0,0
16278,0,-0.01,0.00,9.907,0.148,-1.614,0,0
16328,0,-0.01,0.00,9.902,0.153,-1.604,0,0
16379,0,0.00,0.50,9.902,0.163,-1.609,0,0
16431,0,-0.01,0.00,9.907,0.153,-1.618,0,0
16483,0,-0.01,0.00,9.902,0.158,-1.647,0,0
16534,0,-0.03,-0.52,9.902,0.163,-1.618,0,0
16586,0,-0.03,0.00,9.907,0.168,-1.633,0,0
16636,0,-0.03,0.00,9.907,0.168,-1.595,0,0
16686,0,-0.03,0.00,9.902,0.168,-1.642,0,0
16737,0,-0.04,-0.54,9.902,0.158,-1.628,0,0
16787,0,-0.03,0.56,9.898,0.144,-1.618,0,0
16838,0,-0.03,0.00,9.917,0.153,-1.599,0,0
16890,0,-0.03,0.00,9.907,0.153,-1.561,0,0
16941,0,-0.03,0.00,9.917,0.187,-1.590,0,0
16993,0,-0.01,0.52,9.902,0.168,-1.647,0,0
17045,0,0.00,0.54,9.917,0.148,-1.614,0,0
17096,0,-0.01,0.00,9.888,0.153,-1.614,0,0
17148,0,0.00,0.00,9.912,0.172,-1.614,0,0
17198,0,-0.01,-0.50,9.912,0.158,-1.618,0,0
17250,0,-0.01,0.00,9.893,0.153,-1.647,0,0
17301,0,-0.03,0.00,9.912,0.148,-1.604,0,0
17353,0,-0.03,0.52,9.893,0.153,-1.638,0,0
17404,0,-0.03,0.00,9.917,0.144,-1.604,0,0
17456,0,-0.04,0.00,9.898,0.168,-1.599,0,0
17508,0,-0.05,-0.45,9.936,0.172,-1.609,0,0
17559,0,-0.05,0.00,9.907,0.148,-1.604,0,0
17611,0,-0.05,0.00,9.898,0.158,-1.614,0,0
17662,0,-0.05,0.00,9.922,0.172,-1.609,0,0
17712,0,-0.04,0.00,9.893,0.153,-1.633,0,0
17762,0,-0.05,-0.48,9.926,0.168,-1.604,0,0
17814,0,-0.04,0.45,9.917,0.148,-1.604,0,0
17866,0,-0.03,0.52,9.907,0.144,-1.618,0,0
17917,0,-0.01,0.52,9.917,0.153,-1.599,0,0
17969,0,-0.01,0.00,9.893,0.153,-1.618,0,0
18020,0,-0.05,-1.38,9.883,0.148,-1.623,0,0
18072,0,-0.05,0.00,9.907,0.148,-1.604,0,0
18124,0,-0.04,0.52,9.922,0.172,-1.585,0,0
18174,0,-0.04,0.00,9.917,0.158,-1.647,0,0
18226,0,-0.04,0.00,9.936,0.163,-1.618,0,0
18277,0,-0.02,0.20,9.912,0.148,-1.604,0,0
18329,0,-0.02,0.00,9.907,0.172,-1.609,0,0
18380,0,-0.02,0.00,9.912,0.172,-1.614,0,0
18431,0,-0.02,0.00,9.907,0.168,-1.623,0,0
18482,0,-0.04,-0.52,9.902,0.153,-1.638,0,0
18534,0,-0.04,0.00,9.907,0.134,-1.618,0,0
18586,0,-0.02,0.00,9.912,0.144,-1.604,0,0
18636,0,-0.02,-0.52,9.917,0.172,-1.623,0,0
18686,0,-0.02,0.00,9.926,0.158,-1.633,0,0
18736,0,-0.04,-0.56,9.907,0.153,-1.642,0,0
18786,0,-0.05,-0.56,9.912,0.163,-1.614,0,0
18838,0,-0.05,0.00,9.907,0.158,-1.618,0,0
18889,0,-0.06,0.00,9.922,0.168,-1.623,0,0
18941,0,-0.06,0.00,9.898,0.153,-1.609,0,0
18993,0,-0.10,0.00,9.912,0.153,-1.609,0,0
19044,0,-0.11,0.00,9.912,0.158,-1.638,0,0
19096,0,-0.11,0.00,9.912,0.148,-1.623,0,0
19147,0,-0.14,-0.52,9.922,0.163,-1.618,0,0
19199,0,-0.13,0.52,9.888,0.153,-1.614,0,0
19251,0,-0.13,0.00,9.912,0.163,-1.614,0,0
19301,0,-0.13,0.00,9.917,0.153,-1.585,0,0
19353,0,-0.14,0.00,9.936,0.158,-1.614,0,0
19404,0,-0.15,-0.48,9.893,0.158,-1.623,0,0
19456,0,-0.15,0.00,9.912,0.148,-1.623,0,0
19507,0,-0.15,0.00,9.912,0.158,-1.623,0,0
19559,0,-0.14,0.00,9.912,0.163,-1.633,0,0
19608,0,-0.10,1.34,9.893,0.139,-1.633,0,0
19659,0,-0.10,0.00,9.922,0.168,-1.638,0,0
19709,0,-0.13,0.00,9.907,0.153,-1.604,0,0
19760,0,-0.10,1.45,9.907,0.168,-1.599,0,0
19811,0,-0.12,-0.52,9.898,0.148,-1.618,0,0
19863,0,-0.12,0.00,9.912,0.168,-1.618,0,0
19914,0,-0.13,-0.52,9.912,0.153,-1.604,0,0
19966,0,-0.12,0.00,9.922,0.163,-1.609,0,0
20018,0,-0.10,0.00,9.902,0.168,-1.642,0,0
20069,0,-0.10,0.00,9.902,0.153,-1.633,0,0
20121,0,-0.10,0.00,9.917,0.158,-1.609,0,0
20172,0,-0.10,0.00,9.912,0.144,-1.599,0,0
