Tempo,Estado,Alt,Vel,AccX,AccY,AccZ,Lat,Lon
14082,0,-0.18,0.00,9.912,-1.010,-1.087,0,0
14133,0,-0.19,-0.54,9.936,-0.991,-1.106,0,0
14183,0,-0.21,0.00,9.922,-1.015,-1.097,-7.002081,-34.832737
14233,0,-0.21,0.00,9.917,-0.986,-1.106,-7.002081,-34.832737
14284,0,-0.18,0.93,9.926,-1.001,-1.120,-7.002081,-34.832737
14334,0,-0.22,0.00,9.946,-1.001,-1.101,-7.002081,-34.832737
14385,0,-0.18,0.00,9.917,-1.001,-1.130,-7.002081,-34.832737
14435,0,-0.20,-0.56,9.926,-1.001,-1.140,-7.002081,-34.832737
14487,0,-0.20,0.00,9.936,-1.001,-1.101,-7.002081,-34.832737
14538,0,-0.18,0.52,9.912,-0.986,-1.106,-7.002081,-34.832737
14589,0,-0.18,0.00,9.926,-0.991,-1.092,-7.002081,-34.832737
14640,0,-0.18,0.00,9.917,-0.986,-1.120,-7.002081,-34.832737
14692,0,-0.18,0.00,9.926,-1.001,-1.106,-7.002081,-34.832737
14744,0,-0.17,0.00,9.941,-1.010,-1.087,-7.002081,-34.832737
14795,0,-0.16,0.52,9.922,-1.020,-1.097,-7.002081,-34.832737
14847,0,-0.17,-1.34,9.931,-1.001,-1.097,-7.002081,-34.832737
14898,0,-0.15,0.48,9.931,-1.001,-1.101,-7.002081,-34.832737
14950,0,-0.14,0.00,9.926,-0.991,-1.111,-7.002081,-34.832737
15000,0,-0.12,-0.52,9.931,-0.967,-1.135,-7.002081,-34.832737
15051,0,-0.12,0.00,9.917,-0.991,-1.092,-7.002082,-34.832737
15101,0,-0.15,0.00,9.931,-0.991,-1.120,-7.002082,-34.832737
15152,0,-0.12,0.56,9.946,-0.986,-1.092,-7.002082,-34.832737
15202,0,-0.12,0.00,9.936,-0.972,-1.125,-7.002082,-34.832737
15253,0,-0.12,0.00,9.950,-1.001,-1.116,-7.002082,-34.832737
15303,0,-0.11,0.00,9.941,-1.006,-1.111,-7.002082,-34.832737
15353,0,-0.11,0.00,9.922,-0.991,-1.097,-7.002082,-34.832737
15404,0,-0.11,0.00,9.926,-1.006,-1.101,-7.002082,-34.832737
15454,0,-0.10,0.00,9.922,-0.982,-1.101,-7.002082,-34.832737
15505,0,-0.10,0.00,9.936,-0.991,-1.087,-7.002082,-34.832737
15557,0,-0.10,0.00,9.931,-1.030,-1.101,-7.002082,-34.832737
15609,0,-0.10,0.00,9.936,-1.006,-1.135,-7.002082,-34.832737
15660,0,-0.08,0.52,9.922,-0.986,-1.068,-7.002082,-34.832737
15712,0,-0.08,0.00,9.931,-0.996,-1.130,-7.002082,-34.832737
15763,0,-0.08,0.00,9.941,-0.996,-1.068,-7.002082,-34.832737
15814,0,-0.08,0.00,9.931,-0.982,-1.106,-7.002082,-34.832737
15865,0,-0.08,0.00,9.922,-0.977,-1.111,-7.002082,-34.832737
15917,0,-0.07,0.00,9.902,-1.006,-1.101,-7.002082,-34.832737
15967,0,-0.07,0.00,9.922,-1.025,-1.111,-7.002082,-34.832737
16017,0,-0.08,-0.56,9.917,-0.982,-1.097,-7.002082,-34.832737
16067,0,-0.08,0.00,9.931,-0.991,-1.125,-7.002082,-34.832737
16118,0,-0.07,0.00,9.936,-0.986,-1.120,-7.002082,-34.832737
16172,0,-0.06,0.19,9.941,-1.001,-1.077,-7.002082,-34.832737
16222,0,-0.06,0.00,9.917,-1.015,-1.097,-7.002082,-34.832737
16273,0,-0.06,-0.56,9.917,-1.015,-1.130,-7.002082,-34.832737
16323,0,-0.06,0.00,9.922,-0.996,-1.097,-7.002082,-34.832737
16374,0,-0.04,0.00,9.931,-0.972,-1.082,-7.002082,-34.832737
16424,0,-0.04,0.00,9.950,-0.991,-1.097,-7.002082,-34.832737
16476,0,-0.03,0.52,9.931,-1.015,-1.097,-7.002082,-34.832737
16528,0,-0.03,0.00,9.922,-0.982,-1.111,-7.002082,-34.832737
16578,0,-0.03,0.00,9.926,-0.977,-1.101,-7.002082,-34.832737
16630,0,-0.02,0.00,9.960,-0.967,-1.111,-7.002082,-34.832737
16681,0,-0.02,0.00,9.936,-1.049,-1.144,-7.002082,-34.832737
16733,0,-0.00,0.48,9.931,-1.030,-1.140,-7.002082,-34.832737
16784,0,-0.02,-0.48,9.931,-1.039,-1.135,-7.002082,-34.832737
16836,0,-0.02,0.00,9.883,-1.020,-1.063,-7.002082,-34.832737
16888,0,-0.04,-0.48,9.950,-0.982,-1.116,-7.002082,-34.832737
16939,0,-0.04,0.00,9.941,-0.953,-1.106,-7.002082,-34.832737
16989,0,-0.06,0.00,9.922,-0.910,-1.082,-7.002082,-34.832737
17040,0,-0.06,0.00,9.917,-0.977,-1.116,-7.002082,-34.832737
17090,0,-0.07,0.00,9.941,-1.030,-1.111,-7.002082,-34.832737
17141,0,-0.07,0.00,9.946,-1.077,-1.111,-7.002082,-34.832737
17191,0,-0.07,0.00,9.946,-1.063,-1.106,-7.002082,-34.832737
17241,0,-0.08,0.00,9.907,-1.006,-1.116,-7.002082,-34.832737
17292,0,-0.10,0.00,9.941,-0.939,-1.116,-7.002082,-34.832737
17342,0,-0.11,-0.52,9.922,-0.939,-1.106,-7.002082,-34.832737
17393,0,-0.15,0.00,9.960,-0.962,-1.111,-7.002082,-34.832737
17443,0,-0.17,-0.52,9.917,-1.006,-1.120,-7.002082,-34.832737
17494,0,-0.17,0.00,9.926,-1.049,-1.101,-7.002082,-34.832737
17546,0,-0.17,0.00,9.936,-1.044,-1.097,-7.002082,-34.832737
17598,0,-0.19,0.00,9.946,-1.010,-1.101,-7.002082,-34.832737
17649,0,-0.19,0.00,9.950,-0.977,-1.125,-7.002082,-34.832737
17701,0,-0.19,0.00,9.931,-0.958,-1.082,-7.002082,-34.832737
17752,0,-0.19,0.00,9.926,-0.982,-1.101,-7.002082,-34.832737
17804,0,-0.19,0.00,9.926,-1.020,-1.101,-7.002082,-34.832737
17856,0,-0.17,0.00,9.941,-1.049,-1.116,-7.002082,-34.832737
17906,0,-0.19,-0.52,9.931,-1.025,-1.106,-7.002082,-34.832737
17955,0,-0.19,0.00,9.912,-0.986,-1.130,-7.002082,-34.832737
18006,0,-0.19,0.00,9.922,-0.962,-1.130,-7.002082,-34.832737
18056,0,-0.19,0.00,9.931,-0.972,-1.073,-7.002083,-34.832737
18106,0,-0.19,0.00,9.926,-0.996,-1.125,-7.002083,-34.832737
18157,0,-0.23,0.00,9.922,-1.015,-1.106,-7.002083,-34.832737
18213,0,-0.21,0.19,9.931,-1.020,-1.120,-7.002083,-34.832737
18263,0,-0.20,0.52,9.950,-1.001,-1.116,-7.002083,-34.832737
18314,0,-0.20,0.00,9.922,-0.986,-1.111,-7.002083,-34.832737
18364,0,-0.20,0.00,9.926,-0.967,-1.125,-7.002083,-34.832737
18414,0,-0.18,0.00,9.926,-0.982,-1.087,-7.002083,-34.832737
18467,0,-0.15,1.34,9.950,-1.010,-1.092,-7.002083,-34.832737
18517,0,-0.16,-0.52,9.936,-1.015,-1.130,-7.002083,-34.832737
18569,0,-0.16,0.00,9.931,-1.030,-1.130,-7.002083,-34.832737
18620,0,-0.16,-0.52,9.922,-1.006,-1.101,-7.002083,-34.832737
18672,0,-0.16,0.00,9.931,-0.972,-1.125,-7.002083,-34.832737
18723,0,-0.16,0.00,9.931,-0.962,-1.082,-7.002083,-34.832737
18775,0,-0.16,-0.52,9.941,-0.991,-1.111,-7.002083,-34.832737
18827,0,-0.16,0.00,9.941,-1.010,-1.130,-7.002083,-34.832737
18878,0,-0.16,0.00,9.950,-1.010,-1.097,-7.002083,-34.832737
