Tempo,Estado,Alt,Vel,AccX,AccY,AccZ,Lat,Lon
14162,0,-0.14,0.00,9.357,-0.886,3.998,0,0
14212,0,-0.16,-0.59,9.467,-0.924,3.745,0,0
14261,0,-0.15,0.00,9.395,-1.240,3.716,0,0
14313,0,-0.14,0.48,9.160,-1.302,3.721,0,0
14365,0,-0.15,0.00,8.954,-1.250,3.725,0,0
14416,0,-0.17,-1.23,8.921,-1.350,3.730,0,0
14468,0,-0.14,1.01,9.026,-1.446,3.821,0,0
14518,0,-0.13,0.52,9.069,-1.326,3.979,0,0
14570,0,-0.12,0.00,9.184,-1.058,3.974,0,0
14621,0,-0.12,-0.34,9.424,-0.934,3.783,0,0
14673,0,-0.10,1.01,9.596,-0.809,3.639,0,0
14724,0,-0.11,-0.82,9.562,-0.661,3.654,0,0
14776,0,-0.08,1.01,9.328,-0.622,3.654,0,0
14827,0,-0.06,0.00,9.165,-0.718,3.721,0,0
14879,0,-0.06,0.52,9.232,-0.771,3.615,0,0
14931,0,-0.07,-1.34,9.409,-1.082,3.548,0,0
14982,0,-0.03,1.04,9.591,-1.125,3.510,0,0
15034,0,-0.05,-0.82,9.783,-1.030,3.227,0,0
15084,0,-0.04,0.00,9.629,-0.977,3.323,0,0
15134,0,-0.02,0.00,9.471,-1.010,3.428,0,0
15184,0,-0.06,-1.41,9.467,-0.991,3.381,0,0
15235,0,-0.04,0.00,9.471,-1.025,3.352,0,0
15286,0,-0.03,0.45,9.663,-1.025,3.251,0,0
15338,0,-0.07,-1.30,9.701,-0.895,3.055,0,0
15389,0,-0.04,0.00,9.625,-0.857,3.132,0,0
15440,0,-0.04,0.00,9.610,-0.996,3.141,0,0
15491,0,-0.03,0.00,9.725,-1.159,3.141,0,0
15543,0,-0.05,-0.74,9.778,-1.231,3.117,0,0
15594,0,-0.03,0.56,9.697,-1.140,3.184,0,0
15646,0,-0.03,0.00,9.653,-0.977,3.165,0,0
15698,0,-0.06,0.00,9.510,-0.814,3.189,0,0
15749,0,-0.04,0.56,9.471,-0.757,3.213,0,0
15801,0,-0.04,0.00,9.457,-0.828,3.242,0,0
15852,0,-0.05,0.52,9.629,-1.130,3.089,0,0
15904,0,-0.07,-0.86,9.534,-1.307,3.237,0,0
15955,0,-0.06,0.00,9.572,-1.365,3.179,0,0
16007,0,-0.03,0.48,9.567,-1.274,3.175,0,0
16059,0,-0.03,0.00,9.577,-1.207,3.112,0,0
16109,0,-0.03,0.52,9.577,-1.226,3.146,0,0
16160,0,-0.03,0.00,9.548,-1.073,3.223,0,0
16210,0,-0.03,0.00,9.562,-0.910,3.213,0,0
16263,0,0.00,0.53,9.582,-0.848,3.098,0,0
16315,0,0.00,0.00,9.495,-0.953,3.156,0,0
16365,0,-0.03,-1.34,9.467,-1.039,3.146,0,0
16416,0,-0.02,0.48,9.404,-1.183,3.275,0,0
16468,0,-0.03,0.00,9.462,-1.116,3.247,0,0
16520,0,-0.02,0.48,9.644,-1.034,3.213,0,0
16571,0,-0.02,0.00,9.797,-0.972,3.122,0,0
16623,0,-0.02,0.00,9.711,-0.900,3.089,0,0
16674,0,-0.06,-1.30,9.246,-0.699,3.433,0,0
16726,0,-0.02,0.00,9.471,-0.656,3.409,0,0
16778,0,-0.02,0.00,9.682,-0.910,3.170,0,0
16829,0,-0.02,0.00,9.347,-0.982,3.366,0,0
16881,0,-0.06,0.00,9.064,-0.910,3.610,0,0
16932,0,-0.08,0.00,9.213,-0.977,3.582,0,0
16984,0,-0.06,-0.48,9.438,-0.919,3.381,0,0
17035,0,-0.08,-0.56,9.290,-1.034,3.500,0,0
17088,0,-0.08,0.00,9.280,-1.039,3.529,0,0
17138,0,-0.05,-0.54,9.697,-0.752,3.323,0,0
17189,0,-0.05,0.00,10.180,-0.263,2.629,0,0
17239,0,-0.00,0.00,10.089,0.220,2.543,0,0
17290,0,-0.00,0.00,9.740,0.383,2.452,0,0
17341,0,-0.00,0.00,9.629,0.259,2.514,0,0
17392,0,-0.00,0.00,9.558,0.034,2.710,0,0
17444,0,0.05,0.00,9.639,-0.196,2.725,0,0
17495,0,0.03,-0.54,9.773,-0.278,2.844,0,0
17547,0,0.02,0.00,9.787,-0.192,2.940,0,0
17599,0,0.03,0.00,10.056,0.034,2.701,0,0
17650,0,0.03,0.00,10.094,0.259,2.610,0,0
17702,0,0.03,0.00,9.979,0.306,2.643,0,0
17753,0,0.03,-0.50,9.869,0.464,2.744,0,0
17805,0,0.03,0.00,9.869,0.737,2.691,0,0
17857,0,0.05,0.00,9.946,1.063,2.576,0,0
17908,0,0.05,0.00,9.898,1.451,2.504,0,0
17960,0,0.08,1.32,9.835,1.676,2.246,0,0
18010,0,0.08,0.00,9.500,1.872,2.485,0,0
18059,0,0.10,1.99,9.333,1.872,2.581,0,0
18110,0,0.10,0.00,9.467,1.906,2.409,0,0
18160,0,0.10,0.00,9.448,1.987,2.466,0,0
18210,0,0.07,-1.45,9.529,2.136,2.428,0,0
18262,0,0.09,0.52,9.548,2.107,2.351,0,0
18313,0,0.07,-0.34,9.467,1.949,2.370,0,0
18365,0,0.07,0.00,9.534,1.853,2.227,0,0
18416,0,0.08,0.50,9.524,1.901,2.188,0,0
18468,0,0.12,1.45,9.428,1.872,2.303,0,0
18520,0,0.08,0.00,9.481,1.891,2.528,0,0
18570,0,0.13,1.86,9.529,1.978,2.682,0,0
18621,0,0.09,0.00,9.673,2.054,2.701,0,0
18673,0,0.11,0.58,9.764,2.021,2.466,0,0
18725,0,0.12,0.00,9.744,2.164,2.351,0,0
18776,0,0.08,-1.36,9.778,2.193,2.069,0,0
18828,0,0.08,0.00,9.668,2.064,2.241,0,0
18879,0,0.08,-0.28,9.644,1.906,2.270,0,0
18931,0,0.09,0.48,9.567,1.805,2.337,0,0
18983,0,0.10,0.00,9.606,1.676,2.413,0,0
19034,0,0.09,-0.93,9.687,1.628,2.399,0,0
19087,0,0.11,0.00,9.701,1.556,2.365,0,0
19137,0,0.11,0.00,9.716,1.604,2.337,0,0
19187,0,0.14,0.54,9.629,1.585,2.452,0,0
19237,0,0.15,0.00,9.538,1.642,2.648,0,0
19289,0,0.13,-0.84,9.567,1.724,2.614,0,0
19341,0,0.13,0.00,9.586,1.709,2.490,0,0
19392,0,0.14,0.00,9.558,1.542,2.538,0,0
19444,0,0.15,0.00,9.519,1.480,2.562,0,0
19494,0,0.15,0.00,9.529,1.437,2.658,0,0
19546,0,0.12,-1.43,9.629,1.432,2.600,0,0
19597,0,0.12,0.00,9.620,1.413,2.758,0,0
19649,0,0.12,0.00,9.687,1.470,2.696,0,0
19700,0,0.12,0.00,9.634,1.456,2.705,0,0
19752,0,0.11,-0.71,9.438,1.403,2.887,0,0
19804,0,0.13,0.47,9.438,1.484,2.873,0,0
19855,0,0.13,0.00,9.586,1.441,2.701,0,0
