Tempo,Estado,Alt,Vel,AccX,AccY,AccZ,Lat,Lon
14259,0,0.03,0.00,9.232,3.189,0.785,0,0
14310,0,0.03,0.00,9.342,3.203,0.967,0,0
14361,0,0.03,0.00,9.529,3.567,1.499,0,0
14413,0,0.05,0.50,9.538,3.792,1.585,0,0
14465,0,0.03,-1.34,9.342,3.467,1.221,0,0
14516,0,0.04,0.54,9.366,3.290,0.800,0,0
14568,0,0.04,0.00,9.620,3.328,0.795,0,0
14619,0,0.05,0.00,9.960,3.457,0.771,0,0
14671,0,0.07,0.00,10.238,3.314,0.369,0,0
14723,0,0.09,0.54,9.821,3.448,0.057,0,0
14774,0,0.11,0.50,9.112,2.811,-0.287,0,0
14826,0,0.14,0.52,8.796,2.907,-0.426,0,0
14875,0,0.10,-1.45,8.940,3.141,-1.053,0,0
14926,0,0.10,0.00,8.571,2.595,-1.757,0,0
14976,0,0.10,0.00,8.983,3.821,-1.489,0,0
15026,0,0.10,0.00,8.490,3.452,-2.461,0,0
15078,0,0.10,0.00,8.916,3.735,-1.757,0,0
15130,0,0.08,-0.73,8.480,5.832,-1.963,0,0
15181,0,0.11,1.31,8.619,6.100,-2.437,0,0
15232,0,0.09,-0.73,8.365,6.297,-2.198,0,0
15283,0,0.09,0.00,8.140,6.105,-2.040,0,0
15335,0,0.09,0.00,8.217,5.349,-2.217,0,0
15386,0,0.09,0.00,8.207,4.855,-2.078,0,0
15438,0,0.11,0.00,8.246,4.635,-1.915,0,0
15490,0,0.11,0.00,8.332,4.875,-1.853,0,0
15541,0,0.11,0.00,8.533,5.416,-1.920,0,0
15593,0,0.14,1.23,8.648,5.770,-1.709,0,0
15644,0,0.15,0.50,8.346,5.234,-1.188,0,0
15696,0,0.15,0.00,8.255,4.568,-0.455,0,0
15748,0,0.15,0.00,8.092,5.066,-0.426,0,0
15799,0,0.14,0.00,8.250,5.334,-0.493,0,0
15851,0,0.14,0.00,8.126,4.410,-0.876,0,0
15901,0,0.13,-0.54,8.543,5.511,-1.671,0,0
15951,0,0.14,0.00,8.490,4.951,-2.150,0,0
16002,0,0.13,0.00,8.672,4.152,-2.672,0,0
16052,0,0.13,0.00,8.691,6.148,-2.078,0,0
16102,0,0.13,0.00,8.356,5.114,-2.054,0,0
16153,0,0.13,0.00,8.274,5.502,-2.523,0,0
