Tempo,Estado,Alt,Vel,AccX,AccY,AccZ,Lat,Lon
19595,0,-0.44,0.86,10.089,0.081,0.110,0,0
19646,0,-0.43,0.86,10.036,0.057,0.134,0,0
19698,0,-0.44,-0.56,10.013,0.096,0.153,0,0
19749,0,-0.42,0.00,10.036,0.105,0.144,0,0
19801,0,-0.39,1.23,10.060,0.110,0.067,0,0
19853,0,-0.39,0.00,10.084,0.077,0.115,0,0
19904,0,-0.39,0.00,10.041,0.086,0.120,0,0
19955,0,-0.39,0.00,10.032,0.072,0.124,0,0
20005,0,-0.39,0.00,10.022,0.057,0.120,0,0
20056,0,-0.35,0.00,10.022,0.086,0.101,0,0
20106,0,-0.36,-0.52,10.070,0.062,0.077,0,0
20158,0,-0.36,0.00,10.051,0.081,0.062,0,0
20209,0,-0.34,0.82,10.003,0.077,0.120,0,0
20261,0,-0.35,-0.48,10.041,0.067,0.034,0,0
20312,0,-0.40,-0.56,10.060,0.101,0.024,0,0
20364,0,-0.37,0.89,10.046,0.048,0.014,0,0
20416,0,-0.40,0.00,10.080,0.105,-0.005,0,0
20466,0,-0.37,0.64,10.013,0.153,0.019,0,0
20518,0,-0.35,0.84,10.027,0.134,-0.010,0,0
20570,0,-0.37,0.00,10.046,0.134,0.010,0,0
20620,0,-0.36,0.34,10.060,0.110,-0.019,0,0
20672,0,-0.36,-0.28,10.003,0.168,0.057,0,0
20723,0,-0.37,-0.19,10.070,0.110,-0.010,0,0
20775,0,-0.37,0.00,10.084,0.081,-0.029,0,0
20826,0,-0.42,-2.09,10.046,0.120,-0.053,0,0
20878,0,-0.41,0.34,9.984,0.144,-0.005,0,0
20928,0,-0.38,0.93,9.969,0.129,0.005,0,0
20978,0,-0.33,1.69,10.075,0.105,-0.038,0,0
21029,0,-0.33,0.00,10.036,0.129,-0.014,0,0
21079,0,-0.32,0.32,10.041,0.067,0.000,0,0
21131,0,-0.30,0.97,10.051,0.124,-0.010,0,0
21183,0,-0.28,0.00,10.017,0.115,-0.019,0,0
21235,0,-0.22,0.86,10.060,0.115,0.038,0,0
21286,0,-0.20,0.88,10.060,0.139,0.019,0,0
21338,0,-0.17,-0.48,10.027,0.148,0.010,0,0
21389,0,-0.14,1.34,10.041,0.148,-0.053,0,0
21441,0,-0.09,0.00,10.056,0.139,-0.034,0,0
21493,0,-0.00,1.34,10.060,0.091,0.019,0,0
21544,0,0.03,1.32,10.056,0.115,-0.010,0,0
21596,0,0.10,2.37,10.003,0.129,0.000,0,0
21647,0,0.11,0.54,10.051,0.115,0.053,0,0
21698,0,0.16,1.84,10.008,0.139,0.010,0,0
21749,0,0.17,0.50,10.032,0.110,-0.029,0,0
21801,0,0.21,0.00,10.099,0.043,0.048,0,0
21852,0,0.24,1.33,10.032,0.038,0.129,0,0
21904,0,0.28,0.00,10.056,0.115,0.110,0,0
21955,0,0.32,1.45,10.008,0.110,0.057,0,0
22005,0,0.34,0.91,10.027,0.086,0.014,0,0
22056,0,0.35,0.00,10.032,0.048,0.010,0,0
22106,0,0.32,-0.20,10.041,0.072,0.053,0,0
22158,0,0.30,-0.72,10.056,0.043,0.034,0,0
22209,0,0.29,0.00,10.003,0.062,0.077,0,0
22261,0,0.25,-0.69,10.041,0.034,0.048,0,0
22312,0,0.25,0.00,10.046,0.038,0.043,0,0
22364,0,0.23,-0.67,10.032,0.077,-0.038,0,0
22415,0,0.21,-0.69,10.065,0.038,0.091,0,0
22467,0,0.19,-0.69,10.008,0.062,0.163,0,0
22519,0,0.19,0.03,10.027,0.062,0.057,0,0
22571,0,0.15,0.00,10.065,0.086,0.019,0,0
22621,0,0.13,-0.67,10.022,0.086,-0.005,0,0
22673,0,0.12,-1.15,10.051,0.144,-0.005,0,0
22724,0,0.15,1.14,10.022,0.158,0.024,0,0
22776,0,0.13,0.00,10.046,0.148,0.010,0,0
22827,0,0.13,-0.71,10.051,0.134,0.067,0,0
22879,0,0.11,0.00,10.070,0.139,0.014,0,0
22930,0,0.08,-1.19,10.070,0.153,0.038,0,0
22982,0,0.04,-1.29,10.041,0.148,0.010,0,0
23034,0,0.06,0.00,10.013,0.182,-0.029,0,0
23083,0,0.05,0.69,10.060,0.187,-0.077,0,0
23134,0,0.03,0.00,10.022,0.206,-0.062,0,0
23184,0,0.04,0.62,9.998,0.177,-0.062,0,0
23235,0,0.02,-0.74,10.041,0.158,-0.120,0,0
23285,0,0.00,0.00,10.065,0.168,-0.077,0,0
23336,0,-0.05,-0.67,10.065,0.172,-0.067,0,0
23388,0,-0.03,0.60,10.027,0.158,-0.034,0,0
23439,0,-0.05,0.00,10.041,0.211,-0.124,0,0
23490,0,-0.08,-1.19,10.190,0.206,0.034,0,0
23541,0,-0.11,-0.22,10.041,0.144,0.187,0,0
23593,0,-0.11,-0.11,10.036,0.144,0.206,0,0
